surrogate,estimand,pooled_rho,ci_lo,ci_hi,p,I2,k
sig_landsys,E-UNIT,0.085,-0.003,0.172,0.0582,0.0,4
sig_landsys,E-AREA,0.28,0.161,0.39,0.0,0.0,4
sig_nvis_mvg,E-UNIT,0.244,0.149,0.334,0.0,18.0,4
sig_nvis_mvg,E-AREA,0.348,-0.29,0.772,0.2818,91.0,4
cond_dea,E-UNIT,0.141,-0.098,0.364,0.2464,83.0,4
cond_dea,E-AREA,-0.044,-0.166,0.079,0.4795,0.0,4
convertibility,E-UNIT,0.178,0.063,0.288,0.0026,0.0,4
convertibility,E-AREA,0.174,0.041,0.301,0.0104,0.0,4
protection,E-UNIT,-0.015,-0.073,0.043,0.6149,0.0,2
protection,E-AREA,-0.228,-0.489,0.07,0.1318,14.0,2
