model,n,estimand,test_rho,ci_lo,ci_hi,train_rho,overfit_gap
sig_landsys,30010,E-UNIT,0.066,-0.035,0.148,0.124,0.058
sig_landsys,30010,E-AREA,0.116,-0.031,0.258,0.221,0.105
sig_nvis_mvg,29444,E-UNIT,0.127,0.053,0.259,0.219,0.092
sig_nvis_mvg,29444,E-AREA,0.019,-0.193,0.256,0.252,0.233
cond_dea,14197,E-UNIT,0.017,-0.1,0.132,0.035,0.018
cond_dea,14197,E-AREA,0.062,-0.11,0.223,0.055,-0.007
convertibility,24610,E-UNIT,0.061,-0.107,0.225,0.198,0.137
convertibility,24610,E-AREA,0.022,-0.154,0.162,0.087,0.065
protection,30094,E-UNIT,-0.156,-0.215,-0.001,0.023,0.179
protection,30094,E-AREA,0.022,-0.192,0.203,0.185,0.163
CORE_joint,23966,E-UNIT,0.218,0.078,0.326,0.301,0.083
CORE_joint,23966,E-AREA,0.172,-0.008,0.322,0.198,0.026
FULL_joint,9544,E-UNIT,0.196,0.049,0.308,0.28,0.084
FULL_joint,9544,E-AREA,0.123,-0.061,0.289,0.129,0.007
